julian,precip_mm,unb_swe,brn_swe,unb_melt,brn_melt,unb_frostdp,brn_frostdp,unb_saturation,brn_saturation,unb_runoff,brn_runoff
100,20.60,448.6,448.6,0.0,0.0,70,70,0.350,0.340,0.0000,0.0000
101,23.60,472.2,472.2,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
102,5.30,477.6,477.6,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
103,0.00,477.6,477.6,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
104,0.00,477.6,477.6,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
105,0.00,477.6,477.6,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
106,0.00,477.6,477.6,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
107,2.30,479.9,479.9,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
108,23.60,503.4,503.4,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
109,8.60,512.0,512.0,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
110,0.00,512.0,512.0,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
111,0.00,512.0,512.0,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
112,4.60,516.6,516.6,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
113,7.40,524.0,524.0,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
114,3.30,527.4,527.4,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
115,0.00,527.4,527.4,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
116,0.00,527.4,527.4,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
117,0.00,527.4,527.4,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
118,0.00,527.4,527.4,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
119,0.00,527.4,527.4,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
120,0.00,527.4,527.4,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
121,0.00,527.4,527.4,0.0,0.0,70,70,0.340,0.340,0.0000,0.0000
122,0.00,527.4,519.1,0.0,8.3,70,70,0.340,0.350,0.0000,6.2819
123,0.00,527.4,504.9,0.0,14.1,70,70,0.340,0.350,0.0000,12.8062
124,0.00,526.1,484.3,1.3,20.5,70,70,0.350,0.350,0.0000,18.9351
125,0.00,504.4,458.4,21.6,25.8,70,70,0.580,0.350,0.0000,24.3717
126,0.00,477.7,427.4,26.7,31.0,70,70,0.740,0.350,0.0000,29.4271
127,0.00,445.6,390.2,31.9,37.2,70,70,0.860,0.350,4.1568,35.4021
128,0.00,414.7,354.2,31.1,36.0,70,70,0.870,0.350,10.5621,34.2809
129,0.00,383.3,317.9,31.2,36.2,70,70,0.880,0.360,12.5643,34.4671
130,0.00,383.3,317.9,0.0,0.0,70,70,0.680,0.350,0.0000,0.0000
131,0.00,380.0,312.8,3.5,5.1,70,70,0.620,0.360,0.0000,3.4175
132,0.00,363.8,291.4,16.0,21.5,70,70,0.700,0.380,0.0000,18.2502
133,0.00,354.3,278.7,9.4,12.7,70,67,0.670,0.370,0.0000,11.1861
134,0.00,335.0,255.3,19.5,23.5,60,60,0.750,0.390,0.0000,20.2537
135,0.00,315.5,231.4,19.6,23.8,60,60,0.790,0.380,0.0000,22.0598
136,3.60,295.4,206.7,20.3,24.7,54,60,0.910,0.380,1.5963,24.5501
137,0.00,280.3,188.0,15.2,18.3,50,50,0.870,0.410,0.0000,15.8425
138,0.00,257.8,160.8,22.8,27.6,50,50,0.910,0.380,2.5512,25.4223
139,0.00,218.2,114.0,39.6,47.0,40,40,0.940,0.390,20.3494,44.9270
140,0.00,182.3,71.8,35.8,42.3,39,40,0.930,0.370,16.9451,40.3465
141,3.60,152.4,36.0,29.9,35.6,30,32,0.950,0.410,14.3358,37.3128
142,3.60,135.8,16.0,16.5,20.2,22,30,0.980,0.430,2.3053,19.7235
143,0.00,114.6,0.0,21.3,16.1,20,20,0.970,0.520,3.4623,12.4718
144,0.00,83.7,0.0,31.0,0.0,10,13,1.000,0.460,12.3931,0.0000
145,0.00,51.6,0.0,32.2,0.0,9,0,0.990,0.420,13.7261,0.0000
146,0.00,22.3,0.0,29.6,0.0,0,0,0.990,0.380,11.9622,0.0000
147,7.90,0.0,0.0,22.4,0.0,0,0,0.990,0.460,12.7573,0.0000
148,5.80,0.0,0.0,0.0,0.0,0,0,0.860,0.530,0.0000,0.0000
149,0.00,0.0,0.0,0.0,0.0,0,5,0.730,0.500,0.0000,0.0000
150,4.60,0.0,0.0,0.0,0.0,0,0,0.760,0.540,0.0000,0.0000
151,0.00,0.0,0.0,0.0,0.0,0,5,0.690,0.510,0.0000,0.0000
152,0.00,0.0,0.0,0.0,0.0,0,5,0.670,0.480,0.0000,0.0000
153,0.00,0.0,0.0,0.0,0.0,0,5,0.650,0.440,0.0000,0.0000
154,0.00,0.0,0.0,0.0,0.0,0,0,0.630,0.400,0.0000,0.0000
