family,hypothesis,representative_worst,representative_median,representative_contrast,expected_observable,pass_fail_criterion,suggested_lane_type,candidate_incident_id,recommendation
D1,Outlet-OFE saturation spike with severe magnitude and ratio saturation.,cochlear-beriberi/H461,cochlear-beriberi/H35,cochlear-beriberi/H262,Lower late_max_abs_ofe_closure_residual_mm_max_abs below 1000 and break ratio saturation marker.,PASS if D1 predicates no longer hold on representative seeds.,G*,20260502_cochlear-beriberi_hillslope_outlet-saturation-severe,new_incident
D2b1,"Outlet sub-severe single-day mild (100-300 mm, <=3 days): threshold-adjacent outlet surge likely dominated by low-magnitude numerical noise.",cochlear-beriberi/H495,ordained-incentive/H195,ordained-incentive/H317,Lower late_max_abs_ofe_closure_residual_mm_max_abs below 100 and reduce requires_scientific_review_days to 0 while keeping runoff_pass_vs_outlet_qofe_residual_m3_max_abs below the D2b activation regime.,PASS if representative seeds no longer exceed 100 mm and review-day count is 0.,G*,20260502_ordained-incentive_hillslope_d2b1-single-day-mild,new_incident
D2b2,"Outlet sub-severe single-day moderate (300-500 mm, <=3 days): D4-adjacent spike below severe bar, candidate H2637-lane generalization target.",cochlear-beriberi/H13,cochlear-beriberi/H488,cochlear-beriberi/H363,Lower late_max_abs_ofe_closure_residual_mm_max_abs below 300 and remove <=3-day outlet spikes; monitor runoff_pass_vs_outlet_qofe_residual_m3_max_abs reduction.,PASS if <=3-day 300-500 mm spikes are removed without shifting into D4/D1 predicates.,G*,20260502_cochlear-beriberi_hillslope_d2b2-single-day-moderate,extend_20260430_uncapped-spectacular_h2637_hillslope_closure-spike
D2b3,"Outlet sub-severe multi-day mild (100-300 mm, 4-29 days): low-magnitude multi-day regime suggesting parameter/boundary mismatch.",cochlear-beriberi/H492,cochlear-beriberi/H215,cochlear-beriberi/H363,Collapse 4-29 day mild regime by reducing requires_scientific_review_days below 4 and late_max_abs_ofe_closure_residual_mm_max_abs below 100.,PASS if 4-29 day mild persistence resolves and severity falls below 100 mm.,G*,20260502_cochlear-beriberi_hillslope_d2b3-multi-day-mild,new_incident
D2b4,"Outlet sub-severe multi-day moderate (300-500 mm, 4-29 days): same persistence as D2b3 but with stronger severity signal requiring separate lane.",cochlear-beriberi/H440,cochlear-beriberi/H3,cochlear-beriberi/H363,Collapse 4-29 day moderate regime and reduce late_max_abs_ofe_closure_residual_mm_max_abs below 300.,PASS if 4-29 day moderate persistence resolves and severity falls below 300 mm.,G*,20260502_cochlear-beriberi_hillslope_d2b4-multi-day-moderate,new_incident
D2b5,"Outlet sub-severe multi-day severe (500-1000 mm, 4-29 days): sustained severe outlet residual below D1 ceiling, likely structural model gap.",cochlear-beriberi/H465,cochlear-beriberi/H463,cochlear-beriberi/H262,Reduce late_max_abs_ofe_closure_residual_mm_max_abs below 500 and break sustained 4-29 day severe outlet pattern.,PASS if multi-day severe band (>500 mm) clears or transitions into bounded non-severe families.,G*,20260502_cochlear-beriberi_hillslope_d2b5-multi-day-severe,new_incident
D3,Storage saturation pressure where porosity fraction stays near the cap.,cochlear-beriberi/H154,ordained-incentive/H273,ordained-incentive/H317,Reduce soilwater_to_porosity_fraction_p99 below D3 threshold and corresponding late-window pulse severity.,PASS if porosity-cap pressure signal clears and flags reduce materially.,G*,20260502_ordained-incentive_hillslope_storage-cap-pressure,new_incident
D4,Single-day severe spike aligned with closure-spike precedent signatures.,cochlear-beriberi/H285,cochlear-beriberi/H84,cochlear-beriberi/H166,Eliminate <=3-day severe spikes (late residual >=500) on representative seeds.,PASS if severe single-day spike is removed and review-day count drops to 0.,G*,20260502_cochlear-beriberi_hillslope_single-day-severe-spike,extend_20260430_uncapped-spectacular_h2637_hillslope_closure-spike
D6b,Multi-day moderate anomaly in the 4-29 day persistence band.,cochlear-beriberi/H333,cochlear-beriberi/H312,cochlear-beriberi/H363,Collapse 4-29 day moderate anomaly burden below review thresholds.,PASS if 4-29 day moderate pattern no longer dominates the family.,G*,20260502_cochlear-beriberi_hillslope_multi-day-moderate,new_incident
D6c,Persistent severe regime suggesting structural model gap over numerical blip.,cochlear-beriberi/H80,cochlear-beriberi/H25,cochlear-beriberi/H262,Break long-duration >500 mm regime or isolate explicit model-gap boundary.,PASS if persistent severe regime is eliminated or transformed into bounded families.,G*,20260502_cochlear-beriberi_hillslope_persistent-severe,new_incident
