runid,config,wepp_id,topaz_id,summary_json_path,top_days_csv_path,late_max_abs_ofe_closure_residual_mm_max_abs,late_max_abs_ofe_closure_residual_mm_p99,late_max_abs_ofe_closure_residual_mm_p95,late_max_abs_ofe_closure_residual_mm_p90,late_max_surface_pulse_proxy_mm_max_abs,late_max_surface_pulse_proxy_mm_p99,late_max_qofe_to_q_ratio_max_abs,late_max_qofe_to_q_ratio_p99,closure_residual_pct_of_rm_total,closure_residual_total_mm,max_abs_ofe_closure_residual_mm_max_abs,closure_residual_mm_max_abs,closure_residual_mm_p99,n_ofe_max,n_ofe_min,late_outlier_ofe_id,outlier_is_outlet_ofe,outlier_is_first_ofe,outlier_is_interior_ofe,chain_subsurface_transfer_residual_m3_max_abs,chain_subsurface_transfer_residual_m3_p99,chain_surface_transfer_residual_m3_max_abs,chain_surface_transfer_residual_m3_p99,runoff_pass_vs_outlet_qofe_residual_m3_max_abs,runoff_pass_vs_outlet_qofe_residual_m3_p99,first_ofe_nonzero_subrin_days,first_ofe_nonzero_upstrmq_days,strict_chain_invariants_applicable,soilwater_to_porosity_fraction_max_abs,soilwater_to_porosity_fraction_p99,soilwater_minus_fc_mm_max_abs,soilwater_minus_wp_mm_max_abs,soilwater_gt_porositycap_days,soilwater_lt_wpstore_days,profile_order_fc_gt_porosity_days,profile_order_wp_gt_fc_days,precip_total_mm,runoff_reported_total_mm,lateral_reported_total_mm,et_reported_total_mm,storage_change_mm,requires_scientific_review_days,total_simulation_days,flagged_day_fraction,max_anomaly_year,max_anomaly_month,max_anomaly_julian,worst_review_day_year,worst_review_day_month,worst_review_day_julian,worst_review_day_reason,worst_review_day_late_residual_mm,worst_review_day_late_pulse_mm,worst_review_day_qofe_to_q_ratio,threshold_late_ofe_residual_mm,threshold_late_pulse_mm,threshold_late_qofe_to_q_ratio,threshold_late_ofe_window
cochlear-beriberi,disturbed9002-mofe,1,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H1/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H1/hillslope_mofe_daily_closure_audit_top_days.csv,1049.1622000000002,41.17716280000007,10.802640569999935,4.388179999999958,1093.2922,4.6426000000000025,18.00001713830325,18.000012687215136,0.34963709445204083,233.95054593655942,1193.0947999999999,65.45013500000002,14.54601984444453,18,18,18.0,True,False,False,0.06999600000000328,0.0,0.00699960000019928,6.999599997925543e-05,83.08511200800001,0.039669295199964844,0,0,unknown_from_interchange,0.9982309989074771,0.9906307780254838,325.401111111111,451.3811111111109,0,0,0,0,67042.99999999997,40126.668095319714,324.0983333333333,22477.20166666666,170.96722222222218,69,14975,0.0046,9,1,9,21.0,2.0,36.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,1049.1622000000002,1093.2922,18.000001917644827,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,3,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H3/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H3/hillslope_mofe_daily_closure_audit_top_days.csv,457.2769000000001,21.311991908000067,9.435194100000013,3.103124800000037,447.3369000000001,4.29,8.000006385675652,8.00000344884187,-0.6093078438162369,-407.93431285487566,457.2769000000001,86.55826249999993,13.983939025000119,8,8,8.0,True,False,False,0.0,0.0,0.0016199140009121038,1.6199139992068012e-05,1.3211658963092,0.033718189400110544,0,0,unknown_from_interchange,0.9891673360875222,0.9751521976130364,384.97625000000005,465.8362500000001,0,0,0,0,67043.0,20902.940151298157,17519.32875,25082.82125,259.75374999999997,9,14975,0.0006,6,1,14,6.0,1.0,14.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,457.2769000000001,447.3369000000001,8.0,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,13,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H13/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H13/hillslope_mofe_daily_closure_audit_top_days.csv,473.0825999999999,20.120890400000057,8.70019970000008,2.1972840000000855,472.1425999999999,1.2426000000000024,8.000006827359961,8.000004201660834,-0.029666633095250406,-19.8762251326253,473.0825999999999,88.77262624999995,14.009485592500056,8,8,8.0,True,False,False,0.0,0.0,0.001294102001338615,1.2941019996048908e-05,35.77834857848,0.028283322719898953,0,0,unknown_from_interchange,0.9993362186345071,0.9881821630033069,325.96875,451.94874999999996,0,0,0,0,67043.0,25305.596442455848,12630.989999999998,25359.581249999996,147.35999999999996,1,14975,0.0001,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,473.0825999999999,472.1425999999999,7.999998565139783,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,22,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H22/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H22/hillslope_mofe_daily_closure_audit_top_days.csv,2833.1429999999987,191.34509200000016,10.876385999999954,4.387273999999983,2873.993,187.23959600000092,15.000009969314451,15.000007108456758,-22.887689933559074,-15279.813407491065,2833.1429999999987,801.9039933333331,13.510824840000067,15,15,15.0,True,False,False,0.1074121000000332,0.0,0.1074120999983279,0.00010741209985098976,74.92013309178,0.04120065933200749,0,0,unknown_from_interchange,0.9996100989502168,0.9982073016666989,371.63733333333334,461.0973333333334,0,0,0,0,67043.00000000003,46584.32597028952,6589.625333333335,24972.344666666675,274.40066666666667,179,14975,0.012,6,1,14,31.0,1.0,9.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,2833.1429999999987,2873.993,14.999999107282981,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,25,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H25/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H25/hillslope_mofe_daily_closure_audit_top_days.csv,887.803,38.874403999999984,11.280622099999968,4.936227999999939,893.283,1.17,11.00000985571237,11.000005826028323,-8.93058705919788,-5970.6168844920085,887.803,206.63827272727278,13.226219909090952,11,11,11.0,True,False,False,0.0,0.0,0.001816685999983747,9.083430004608317e-06,25.31207679003,0.030631682519756422,0,0,unknown_from_interchange,0.9992794292800069,0.9913935173120617,371.4654545454547,460.9254545454547,0,0,0,0,67043.00000000001,34884.41898800143,9056.196363636367,25019.08000000001,250.7672727272727,110,14975,0.0073,6,1,14,19.0,1.0,7.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,887.803,893.283,11.00000385565953,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,32,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H32/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H32/hillslope_mofe_daily_closure_audit_top_days.csv,126.53439999999993,20.103849229599945,8.703661500000036,2.2001102200000187,124.67439999999996,2.4499999999999997,6.000003596434494,6.000002387308559,-0.07080737425435295,-47.42829573349755,126.53439999999993,62.47601483333342,13.78030126666665,6,6,6.0,True,False,False,0.0,0.0,0.0016199030001189385,0.0,15.340157429400001,0.019579267812050626,0,0,unknown_from_interchange,0.999531548105751,0.9879346665758155,415.91499999999996,534.505,0,0,0,0,67043.0,20862.67307950949,20744.701666666668,24985.033333333333,280.43166666666673,1,14975,0.0001,9,1,9,24.0,4.0,114.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,126.53439999999993,124.67439999999996,6.000000354823641,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,34,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H34/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H34/hillslope_mofe_daily_closure_audit_top_days.csv,493.5723000000001,20.83634100199996,8.323000000000002,1.2290776000000483,492.03230000000013,1.0199999999999998,9.000008886992998,9.000006285886803,-1.0309150155151412,-691.153719291221,493.5723000000001,109.74288888888879,14.48450277777781,9,9,9.0,True,False,False,0.0,0.0,0.0012998970009903132,1.2998969992850107e-05,20.95046594694,0.03634816641791078,0,0,unknown_from_interchange,0.9987302564497201,0.9886419088050521,371.1799999999999,460.6399999999999,0,0,0,0,67043.0,28756.24064145937,9875.89888888889,25218.856666666667,249.69999999999993,17,14975,0.0011,24,4,115,24.0,4.0,115.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,493.5723000000001,492.03230000000013,9.00000341367998,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,35,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H35/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H35/hillslope_mofe_daily_closure_audit_top_days.csv,1346.3710000000005,31.2040000000001,9.902763199999946,3.2609479999999738,1352.4410000000003,1.1399999999999997,12.00001197104205,12.000008598223793,-11.287527795387485,-7560.3649532359195,1346.3710000000005,397.82916666666637,13.73290916666662,12,12,12.0,True,False,False,0.0,0.0,0.009600020002835663,9.600019990330111e-05,20.986402121580003,0.03929358727980344,0,0,unknown_from_interchange,0.9995382750726255,0.9957091004700617,371.59999999999985,461.0599999999999,0,0,0,0,67042.99999999999,37510.88017568365,7738.951666666667,25390.752499999995,258.9791666666667,109,14975,0.0073,23,2,32,19.0,1.0,7.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,1346.3710000000005,1352.4410000000003,12.000000688117822,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,38,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H38/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H38/hillslope_mofe_daily_closure_audit_top_days.csv,279.57469999999995,22.242825280000044,9.69431699999999,3.3696203999999943,278.36469999999997,2.671566292000001,9.000008529075618,9.000005281075548,-0.41792105194703955,-279.84944640945315,279.57469999999995,62.36846811111111,13.653854488888868,9,9,9.0,True,False,False,0.12401250000002051,0.0,0.0012401250005495967,1.2401250003790665e-05,24.617758578750003,0.030793935000051554,0,0,unknown_from_interchange,0.9987880140275346,0.9803670523582317,380.3844444444445,456.4144444444445,0,0,0,0,67043.0,23734.528951248194,14520.625555555554,25134.137777777778,253.2455555555555,17,14975,0.0011,9,1,9,23.0,11.0,326.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,279.57469999999995,278.36469999999997,9.000000813870965,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,42,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H42/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H42/hillslope_mofe_daily_closure_audit_top_days.csv,735.305,22.42535160000003,10.200033720000068,4.160492800000077,734.705,2.4899999999999984,11.000009652136983,11.000005556541188,-1.26149689685302,-845.4926867287305,735.305,133.41035454545468,15.831167296363722,11,11,11.0,True,False,False,0.0,0.0,0.0030600580030295532,0.0,111.96464576548,0.04358354623602736,0,0,unknown_from_interchange,0.9964769320349859,0.9830341125895091,414.1218181818182,532.7118181818181,0,0,0,0,67042.99999999997,21383.18628437761,21006.37636363636,25057.86454545454,264.30181818181813,20,14975,0.0013,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,735.305,734.705,10.9999977802491,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,63,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H63/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H63/hillslope_mofe_daily_closure_audit_top_days.csv,641.4449999999999,22.714592000000117,9.664792512000046,3.1588109999999663,639.1549999999999,2.119999999999999,10.000009972605254,10.000002219188595,-1.5692788160685402,-1050.935414796305,641.4449999999999,162.69532000000012,13.770760439999977,10,10,10.0,True,False,False,0.09990080000000034,0.0,0.0009990080006900826,9.99008000324153e-07,8.972430510719999,0.028169507840120803,0,0,unknown_from_interchange,0.9993778180314637,0.9909381952785055,380.6840000000001,456.71400000000006,0,0,0,0,67043.0,22515.306351700885,16382.517000000002,25259.551,266.4820000000001,26,14975,0.0017,24,4,114,24.0,4.0,114.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,641.4449999999999,639.1549999999999,10.0,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,65,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H65/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H65/hillslope_mofe_daily_closure_audit_top_days.csv,544.0078,20.25679039999999,8.79418020000001,2.259999999999963,542.9377999999999,2.1599999999999997,9.00000782602571,9.000004794481141,-0.29640365545096486,-198.47461131022226,544.0078,100.72609888888883,13.99601802222215,9,9,9.0,True,False,False,0.12101999999998725,0.0,0.0012102000018785475,1.2101999997682356e-06,22.964246916,0.02906079199980924,0,0,unknown_from_interchange,0.9995799615402289,0.9955951966851967,380.7866666666668,456.8166666666668,0,0,0,0,67043.0,22270.497642722046,15749.11777777778,25249.251111111113,266.94000000000005,5,14975,0.0003,6,5,128,23.0,11.0,326.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,544.0078,542.9377999999999,8.999994998867601,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,67,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H67/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H67/hillslope_mofe_daily_closure_audit_top_days.csv,162.9019,20.8,9.201139430000044,2.865691600000012,159.93189999999998,6.249397709,7.000004865439324,7.000003039813262,0.07740572679101607,51.882303024144306,162.9019,61.59714285714284,14.459657857142854,7,7,7.0,True,False,False,0.0,0.0,0.001439690000097471,1.439689999216398e-06,0.815913354165,0.01245885279994127,0,0,unknown_from_interchange,0.9964370416516386,0.9771910554444406,388.77714285714285,469.63714285714286,0,0,0,0,67043.0,14538.219681320286,23613.485714285714,24984.768571428576,244.0585714285715,1,14975,0.0001,9,1,9,39.0,5.0,122.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,162.9019,159.93189999999998,7.0,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,68,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H68/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H68/hillslope_mofe_daily_closure_audit_top_days.csv,695.5570000000001,20.304020799999943,8.865705319999963,2.3695098000000545,694.617,2.450000000000001,9.000007334789968,9.000004396620515,-0.2825916499167611,-189.2646585642233,695.5570000000001,154.79990000000006,13.86609068888885,9,9,9.0,True,False,False,0.0,0.0,0.0011100750007244642,1.1100749990333725e-06,40.34875078275,0.02675538059987048,0,0,unknown_from_interchange,0.9993879580751283,0.9901357968020812,390.32,471.17999999999995,0,0,0,0,67043.0,26470.940066612115,11571.96111111111,25243.07555555556,266.12333333333345,4,14975,0.0003,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,695.5570000000001,694.617,8.99999902595252,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,71,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H71/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H71/hillslope_mofe_daily_closure_audit_top_days.csv,442.7334,21.915600000000037,10.214122600000046,4.153326000000014,434.86340000000007,3.1099999999999994,8.000006369507892,8.000003619365323,-0.1923161382626374,-128.8315857861253,442.7334,83.02300000000012,14.067182250000085,8,8,8.0,True,False,False,0.0,0.0,0.00170989400066901,1.7098939997239881e-07,16.227324953287997,0.031304779300112405,0,0,unknown_from_interchange,0.9995648764440365,0.996816712569811,390.41250000000014,471.27250000000004,0,0,0,0,67043.0,19446.32570330383,18657.377500000002,25165.5675,253.73249999999996,3,14975,0.0002,6,1,14,6.0,1.0,14.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,442.7334,434.86340000000007,8.0,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,80,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H80/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H80/hillslope_mofe_daily_closure_audit_top_days.csv,976.9669999999999,22.398896109999907,9.280048999999979,2.7568999999999626,974.5470000000001,6.5627793612000005,11.000009644410582,11.000004679391607,-5.11225132582357,-3426.7855643108196,976.9669999999999,222.29891909090895,14.382405199999967,11,11,11.0,True,False,False,0.11616970000000038,0.0,0.011616969999522553,1.1616970013506034e-05,1.049284228098,0.035955862318039634,0,0,unknown_from_interchange,0.9990723878193218,0.9905493817983599,415.64545454545464,534.2354545454546,0,0,0,0,67043.0,26594.073885406044,17951.98,25479.702727272725,282.09272727272725,42,14975,0.0028,13,5,129,13.0,5.0,129.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,976.9669999999999,974.5470000000001,11.000000364937,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,84,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H84/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H84/hillslope_mofe_daily_closure_audit_top_days.csv,506.3042999999999,21.804603660000055,10.268667199999985,4.324700000000079,505.6942999999999,5.994690969799999,7.000005910153841,7.000003640021829,-0.2431156546107855,-162.54784907357345,506.3042999999999,129.47557142857147,13.371706200000087,7,7,7.0,True,False,False,0.0,0.0,0.0014527520006595296,0.0,124.51704458480002,0.018191910399687115,0,0,unknown_from_interchange,0.9995894616592886,0.9943979110993247,276.1999999999999,433.5499999999999,0,0,0,0,67043.0,19106.141740051193,22600.971428571425,24918.629999999997,215.6957142857142,2,14975,0.0001,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,506.3042999999999,505.6942999999999,6.99999889512285,100.0,100.0,2.0,3
cochlear-beriberi,disturbed9002-mofe,94,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H94/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H94/hillslope_mofe_daily_closure_audit_top_days.csv,2391.6393999999996,128.76881060000002,11.700936400000039,5.330660000000093,2391.0893999999994,2.76,19.000011759033878,19.000006584122538,-1.695244152537635,-1136.4314451597893,2391.6393999999996,101.68115263157898,16.139282736842095,19,19,19.0,True,False,False,0.0,0.0,0.004926299999169714,4.926299999397088e-05,28.0849693101,0.038414720599917025,0,0,unknown_from_interchange,0.9996830703897628,0.9983685516721835,371.6752631578947,461.13526315789454,0,0,0,0,67042.99999999999,40791.90554774213,910.6852631578946,22555.42736842105,278.56894736842105,115,14975,0.0077,11,4,107,11.0,4.0,107.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,2391.6393999999996,2391.0893999999994,19.000000627076798,100.0,100.0,2.0,3
