ProjectName,Scenario,Watershed,WeppID,WeppChnID,TopazID,Length (m),Channel Area (ha),Contributing Channel Area (ha),Discharge (mm),Sediment Yield (tonne),Channel Erosion (tonne),Upland Charge (mm),Lateral Flow (mm),CellWidth,Order,Slope,Landuse,LanduseDesc,Soil,SoilDesc,ChannelType,Solub. React. P (kg/ha),Particulate P (kg/ha),Total P (kg/ha)
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,1,862,3824,217.27922061357853,0.6518376618407355,14.65,1725.9324232081913,3.8,0.0,1718.081228668942,0.00204778156996587,3,4,0.09881614164914174,102,Tahoe Old Forest,74145-Volcanic-102,"Grotto gravelly loamy sand, 0 to 8 percent slopes (GR-LS)","Grotto gravelly loamy sand, 0 to 8 percent slopes (GR-LS)",1.3807118745769837,5.829672359325042,7.36379666441058
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,2,863,3814,469.7056274847715,1.4091168824543145,13.73,1825.0742898761837,1.7,0.0017,1806.9752367079388,0.008011653313911144,3,4,0.2412827342935571,102,Tahoe Old Forest,74167-Volcanic-102,"Kaleetan sandy loam, 30 to 65 percent slopes (SL)","Kaleetan sandy loam, 30 to 65 percent slopes (SL)",0.7096643383182384,1.2064293751410051,1.9160937134592437
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,3,864,3804,1381.2489168102784,4.143746750430836,37.18,1853.7095212479828,0.3,0.0026,1840.6043571812802,0.0021516944593867673,2,3,0.25438291399683394,102,Tahoe Old Forest,74167-Volcanic-102,"Kaleetan sandy loam, 30 to 65 percent slopes (SL)","Kaleetan sandy loam, 30 to 65 percent slopes (SL)",0.6998497192663812,0.07239824682066012,0.7481152171468214
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,4,865,3794,596.9848480983499,1.7909545442950496,38.01,1767.252302025783,1.1,0.0040999999999999995,1761.7116548276767,0.0015785319652722968,2,2,0.18779106085561958,102,Tahoe Old Forest,74167-Volcanic-102,"Kaleetan sandy loam, 30 to 65 percent slopes (SL)","Kaleetan sandy loam, 30 to 65 percent slopes (SL)",1.5075759508250202,0.6141976095953786,2.1217735604203987
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,5,866,3784,1541.5432893255067,4.6246298679765205,54.96,1840.144286754003,0.2,0.1925,1835.198689956332,0.0009097525473071324,1,1,0.31486045592788137,102,Tahoe Old Forest,74167-Volcanic-102,"Kaleetan sandy loam, 30 to 65 percent slopes (SL)","Kaleetan sandy loam, 30 to 65 percent slopes (SL)",0.9081807884957689,0.04324670421408423,0.9514274927098532
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,6,867,3774,72.42640687119285,0.21727922061357857,94.06,1807.129066553264,1.2,0.0,1806.9921326812673,0.0,1,1,0.00333,101,Tahoe Sod Grass,74145-Volcanic-101,"Grotto gravelly loamy sand, 0 to 8 percent slopes (GR-LS)","Grotto gravelly loamy sand, 0 to 8 percent slopes (GR-LS)",32.21661040679628,5.522847498307933,37.27922061357855
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,7,868,3764,937.2792206135786,2.8118376618407357,16.66,1917.2689075630253,0.2,0.0033,1897.4441776710687,0.005402160864345739,2,2,0.3067292857528696,102,Tahoe Old Forest,74167-Volcanic-102,"Kaleetan sandy loam, 30 to 65 percent slopes (SL)","Kaleetan sandy loam, 30 to 65 percent slopes (SL)",0.46233110027730784,0.07112786158112429,0.5334589618584321
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,8,869,3754,907.2792206135787,2.7218376618407363,28.89,1847.5133264105225,0.3,0.004900000000000001,1841.9792315680165,0.0013845621322256835,1,1,0.2900364785536512,102,Tahoe Old Forest,74167-Volcanic-102,"Kaleetan sandy loam, 30 to 65 percent slopes (SL)","Kaleetan sandy loam, 30 to 65 percent slopes (SL)",0.8082774483001953,0.11021965204093571,0.918497100341131
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,9,870,3744,459.4112549695429,1.3782337649086287,50.72,1846.3057965299686,0.4,0.0,1844.7046529968454,0.0,1,1,0.021662026764555514,102,Tahoe Old Forest,74145-Volcanic-102,"Grotto gravelly loamy sand, 0 to 8 percent slopes (GR-LS)","Grotto gravelly loamy sand, 0 to 8 percent slopes (GR-LS)",2.757152013506159,0.29022652773749047,3.119935173178022
seattle_k_Cedar_River_CurCond.202009.cl532.chn_cs200,RiverCurCond.202009.cl532.chncs200,seattle_k_Cedar,10,871,3734,1073.9696961966997,3.221909088590099,26.87,2048.8756978042425,0.1,0.016300000000000002,2027.7499069594342,0.005582433941198362,3,4,0.327774849807849,102,Tahoe Old Forest,74167-Volcanic-102,"Kaleetan sandy loam, 30 to 65 percent slopes (SL)","Kaleetan sandy loam, 30 to 65 percent slopes (SL)",0.7138624761775868,0.031037498964242908,0.7138624761775868
