"model","assessment_id","attempt_id","view","selected_window_minutes","min_probability_fraction","year_filter","sort","descending","offset","limit","intensity_unit","rainfall_unit","probability_unit","event_id","date_label","date_semantics","return_interval_years","duration_minutes","peak_intensity","window_rainfall","total_event_rainfall","probability_fraction","target_probability_fraction","reason"
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:0","1 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:1","2 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:2","3 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:3","4 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:4","5 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:5","6 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:6","7 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:7","8 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:8","9 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:9","10 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:10","11 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:11","12 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:12","13 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:13","14 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
"M3","5d2980fedf0f4e7197075469334b8993","5d2980fedf0f4e7197075469334b8993","displayed view",30,,,"row_ordinal","false",0,100,"in/hour","in","fraction (0–1)","1f3ddefcf4cc794ca1a3b27c90974a4494effd9420848e4b27c8987623b74d93:14","15 / 1 / 1","calendar",,30,0.7874019999999999,0.39370099999999997,0.39370099999999997,0.9263068838901626,,
