4|"April"|"Occasional"|"Brief"||||||||||||"2964359"|"32023361"
1|"January"|"None"|||||||||||||"2964359"|"32023362"
5|"May"|"Occasional"|"Brief"||||||||||||"2964359"|"32023363"
8|"August"|"None"|||||||||||||"2964359"|"32334112"
7|"July"|"Occasional"|"Brief"||||||||||||"2964359"|"32334113"
11|"November"|"None"|||||||||||||"2964359"|"32334114"
12|"December"|"None"|||||||||||||"2964359"|"32644863"
6|"June"|"Occasional"|"Brief"||||||||||||"2964359"|"32644864"
10|"October"|"None"|||||||||||||"2964359"|"32644865"
2|"February"|"None"|||||||||||||"2964359"|"32955614"
3|"March"|"None"|||||||||||||"2964359"|"32955615"
9|"September"|"None"|||||||||||||"2964359"|"32955616"
4|"April"|"None"|||||||||||||"2964366"|"32023445"
1|"January"|"None"|||||||||||||"2964366"|"32023446"
5|"May"|"None"|||||||||||||"2964366"|"32023447"
8|"August"|"None"|||||||||||||"2964366"|"32334196"
7|"July"|"None"|||||||||||||"2964366"|"32334197"
11|"November"|"None"|||||||||||||"2964366"|"32334198"
12|"December"|"None"|||||||||||||"2964366"|"32644947"
6|"June"|"None"|||||||||||||"2964366"|"32644948"
10|"October"|"None"|||||||||||||"2964366"|"32644949"
2|"February"|"None"|||||||||||||"2964366"|"32955698"
3|"March"|"None"|||||||||||||"2964366"|"32955699"
9|"September"|"None"|||||||||||||"2964366"|"32955700"
4|"April"|"None"|||||||||||||"2965037"|"32031497"
1|"January"|"None"|||||||||||||"2965037"|"32031498"
5|"May"|"None"|||||||||||||"2965037"|"32031499"
8|"August"|"None"|||||||||||||"2965037"|"32342248"
7|"July"|"None"|||||||||||||"2965037"|"32342249"
11|"November"|"None"|||||||||||||"2965037"|"32342250"
12|"December"|"None"|||||||||||||"2965037"|"32652999"
6|"June"|"None"|||||||||||||"2965037"|"32653000"
10|"October"|"None"|||||||||||||"2965037"|"32653001"
2|"February"|"None"|||||||||||||"2965037"|"32963750"
3|"March"|"None"|||||||||||||"2965037"|"32963751"
9|"September"|"None"|||||||||||||"2965037"|"32963752"
4|"April"|"None"|||||||||||||"2965069"|"32031881"
1|"January"|"None"|||||||||||||"2965069"|"32031882"
5|"May"|"None"|||||||||||||"2965069"|"32031883"
8|"August"|"None"|||||||||||||"2965069"|"32342632"
7|"July"|"None"|||||||||||||"2965069"|"32342633"
11|"November"|"None"|||||||||||||"2965069"|"32342634"
12|"December"|"None"|||||||||||||"2965069"|"32653383"
6|"June"|"None"|||||||||||||"2965069"|"32653384"
10|"October"|"None"|||||||||||||"2965069"|"32653385"
2|"February"|"None"|||||||||||||"2965069"|"32964134"
3|"March"|"None"|||||||||||||"2965069"|"32964135"
9|"September"|"None"|||||||||||||"2965069"|"32964136"
4|"April"|"None"|||||||||||||"2965480"|"32036813"
1|"January"|"None"|||||||||||||"2965480"|"32036814"
5|"May"|"None"|||||||||||||"2965480"|"32036815"
