"A-4"|"No "|"7930304"|"13167189"
"A-4"|"No "|"7930321"|"13564995"
"A-1"|"No "|"7932428"|"13565624"
"A-2"|"No "|"7932429"|"13167824"
"A-4"|"No "|"7932429"|"13300425"
"A-6"|"No "|"7932529"|"13167857"
"A-1"|"No "|"7932530"|"13300458"
"A-2"|"No "|"7932530"|"13433058"
"A-4"|"No "|"7932530"|"13565658"
"A-2"|"No "|"7932531"|"13167858"
"A-7"|"No "|"7932531"|"13300459"
"A-4"|"No "|"7933823"|"13433661"
"A-6"|"No "|"7933823"|"13566261"
"A-2"|"No "|"7933867"|"13301077"
"A-4"|"No "|"7933867"|"13433677"
"A-2"|"No "|"7933868"|"13168477"
"A-1"|"No "|"7933868"|"13566277"
"A-2"|"No "|"7933935"|"13301103"
"A-4"|"No "|"7933990"|"13168521"
"A-6"|"No "|"7933991"|"13301122"
"A-7"|"No "|"7933991"|"13433722"
"A-1"|"No "|"7934170"|"13168579"
"A-2"|"No "|"7934170"|"13301180"
"A-4"|"No "|"7934170"|"13433780"
"A-2"|"No "|"7934171"|"13168580"
"A-1"|"No "|"7934171"|"13566380"
"A-6"|"No "|"7934177"|"13168582"
"A-4"|"No "|"7934177"|"13566382"
"A-6"|"No "|"7934178"|"13301183"
"A-4"|"No "|"7934191"|"13433786"
"A-7"|"No "|"7934192"|"13566386"
"A-7"|"No "|"7934193"|"13168586"
"A-2"|"No "|"7934194"|"13301187"
"A-4"|"No "|"7934194"|"13433787"
"A-6"|"No "|"7934194"|"13566387"
"A-6"|"No "|"7934253"|"13301209"
"A-1"|"No "|"7934254"|"13433809"
"A-2"|"No "|"7934255"|"13566409"
"A-1"|"No "|"7934266"|"13168613"
"A-2"|"No "|"7934266"|"13301214"
"A-2"|"No "|"7934267"|"13433814"
"A-6"|"No "|"7934267"|"13566414"
"A-4"|"No "|"7934316"|"13301233"
"A-2"|"No "|"7934317"|"13433833"
"A-6"|"No "|"7934317"|"13566433"
"A-4"|"No "|"7934332"|"13168637"
"A-2"|"No "|"7934332"|"13566437"
"A-1"|"No "|"7934344"|"13433841"
"A-2"|"No "|"7934345"|"13168641"
"A-1"|"No "|"7934345"|"13566441"
"A-6"|"No "|"7934346"|"13301242"
"A-7"|"No "|"7934346"|"13433842"
"A-6"|"No "|"7934347"|"13566442"
"A-4"|"No "|"7934358"|"13433845"
"A-6"|"No "|"7934580"|"13301334"
"A-7"|"No "|"7934581"|"13433934"
"A-7"|"No "|"7934582"|"13168734"
"A-6"|"No "|"7934582"|"13566534"
"A-6"|"No "|"7934585"|"13168735"
"A-7"|"No "|"7934585"|"13301336"
"A-7"|"No "|"7934628"|"13433950"
"A-4"|"No "|"7934773"|"13566604"
"A-4"|"No "|"7934792"|"13434011"
"A-6"|"No "|"7934793"|"13566611"
"A-2"|"No "|"7934805"|"13434014"
"A-3"|"No "|"7934805"|"13566614"
"A-6"|"No "|"7935054"|"13168905"
"A-1"|"No "|"7935128"|"13168934"
"A-2"|"No "|"7935128"|"13301535"
"A-4"|"No "|"7935129"|"13434135"
"A-6"|"No "|"7935129"|"13566735"
"A-4"|"No "|"7935132"|"13566736"
"A-4"|"No "|"7935133"|"13168936"
"A-4"|"No "|"7935134"|"13301537"
"A-4"|"No "|"7935162"|"13168945"
