AGLIM1
----------------
 0   No information
 1   No limitation to agricultural use
 2   Gravelly (over 35% gravel diameter < 7.5 cm)
 3   Stony (presence of stones diameter > 7.5 cm,
     impracticable mechanisation)
 4   Lithic (coherent and hard rock within 50 cm)
 5   Concretionary (over 35% concretions diameter < 7.5
     cm near the surface)
 6   Petrocalcic (cemented or indurated calcic horizon
     within 100 cm)
 7   Saline (electric conductivity > 4 mS.cm-1 within
     100 cm)
 8   Sodic (Na/T > 6% within 100 cm)
 9   Glaciers and snow-caps
10   Soils disturbed by man (i.e. landfills, paved
     surfaces, mine spoils)
11   Fragipans
12   Excessively drained
13   Almost always flooded
14   Eroded phase, erosion
15   Phreatic phase (shallow water table)
16   Duripan (silica and iron cemented subsoil horizon)
17   Petroferric horizon
18   Permafrost
---------------------------------------------------------------------------
AGLIM2
----------------
 0   No information
 1   No limitation to agricultural use
 2   Gravelly (over 35% gravel diameter < 7.5 cm)
 3   Stony (presence of stones diameter > 7.5 cm,
     impracticable mechanisation)
 4   Lithic (coherent and hard rock within 50 cm)
 5   Concretionary (over 35% concretions diameter < 7.5
     cm near the surface)
 6   Petrocalcic (cemented or indurated calcic horizon
     within 100 cm)
 7   Saline (electric conductivity > 4 mS.cm-1 within
     100 cm)
 8   Sodic (Na/T > 6% within 100 cm)
 9   Glaciers and snow-caps
10   Soils disturbed by man (i.e. landfills, paved
     surfaces, mine spoils)
11   Fragipans
12   Excessively drained
13   Almost always flooded
14   Eroded phase, erosion
15   Phreatic phase (shallow water table)
16   Duripan (silica and iron cemented subsoil horizon)
17   Petroferric horizon
18   Permafrost
---------------------------------------------------------------------------
BORDER_SOIL1M
----------------
0   Null arcs (border lines of oceans)
1   Border lines of countries currently covered by the
    database
2   Border lines of countries under progress
3   Border lines of other countries
---------------------------------------------------------------------------
BORDER_TYPE
----------------
    Null arcs (border lines of oceans)
E   Earth
S   Sea
---------------------------------------------------------------------------
CFL
----------------
0   No information
H   High confidence in the STU description
M   Medium confidence in the STU description
L   Low confidence in the STU description
V   Very low confidence in the STU description because
    some interpretation was made by the co-ordinator
---------------------------------------------------------------------------
CL
----------------
h   High
m   Moderate
l   Low
v   Very low
    or unknown confidence level
o   Data originates from author
    (no pedo-transfer interpretation)
    No information
---------------------------------------------------------------------------
COUNTRY
----------------
     No information
-3   Not applicable (oceans)
AD   ANDORRA
AL   ALBANIA
AM   ARMENIA
AT   AUSTRIA
AZ   AZERBAIJAN
BA   BOSNIA AND HERZEGOVINA
BE   BELGIUM
BG   BULGARIA
BY   BELARUS
CH   SWITZERLAND
CN   CHINA
CY   CYPRUS
CZ   CZECH REPUBLIC
DE   GERMANY
DK   DENMARK
DZ   ALGERIA
EE   ESTONIA
EG   EGYPT
EH   WESTERN SAHARA
ES   SPAIN
FI   FINLAND
FO   FAROE ISLANDS
FR   FRANCE
GB   UNITED KINGDOM
GE   GEORGIA
GI   GIBRALTAR
GR   GREECE
HR   CROATIA
HU   HUNGARY
IE   IRELAND
IL   ISRAEL
IQ   IRAQ
IR   IRAN, ISLAMIC REPUBLIC OF
IS   ICELAND
IT   ITALY
JO   JORDAN
JP   JAPAN
KG   KYRGYZSTAN
KP   KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF
KZ   KAZAKSTAN
LB   LEBANON
LI   LIECHTENSTEIN
LT   LITHUANIA
LU   LUXEMBOURG
LV   LATVIA
LY   LIBYAN ARAB JAMAHIRIYA
MA   MOROCCO
MC   MONACO
MD   MOLDOVA, REPUBLIC OF
MK   MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF
ML   MALI
MN   MONGOLIA
MR   MAURITANIA
MT   MALTA
NE   NIGER
NL   NETHERLANDS
NO   NORWAY
PL   POLAND
PS   PALESTINIAN TERRITORY, OCCUPIED
PT   PORTUGAL
RO   ROMANIA
RU   RUSSIAN FEDERATION
SA   SAUDI ARABIA
SD   SUDAN
SE   SWEDEN
SI   SLOVENIA
SK   SLOVAKIA
SM   SAN MARINO
SY   SYRIAN ARAB REPUBLIC
TD   CHAD
TJ   TAJIKISTAN
TM   TURKMENISTAN
TN   TUNISIA
TR   TURKEY
UA   UKRAINE
US   UNITED STATES
UZ   UZBEKISTAN
YU   YUGOSLAVIA
---------------------------------------------------------------------------
