4|"April"|"Frequent"|"Brief"||||||||||||"2965033"|"32031449"
1|"January"|"None"|||||||||||||"2965033"|"32031450"
5|"May"|"Frequent"|"Brief"||||||||||||"2965033"|"32031451"
8|"August"|"None"|||||||||||||"2965033"|"32342200"
7|"July"|"None"|||||||||||||"2965033"|"32342201"
11|"November"|"None"|||||||||||||"2965033"|"32342202"
12|"December"|"None"|||||||||||||"2965033"|"32652951"
6|"June"|"Frequent"|"Brief"||||||||||||"2965033"|"32652952"
10|"October"|"None"|||||||||||||"2965033"|"32652953"
2|"February"|"Frequent"|"Brief"||||||||||||"2965033"|"32963702"
3|"March"|"Frequent"|"Brief"||||||||||||"2965033"|"32963703"
9|"September"|"None"|||||||||||||"2965033"|"32963704"
4|"April"|"None"|||||||||||||"2965034"|"32031461"
1|"January"|"None"|||||||||||||"2965034"|"32031462"
5|"May"|"None"|||||||||||||"2965034"|"32031463"
8|"August"|"None"|||||||||||||"2965034"|"32342212"
7|"July"|"None"|||||||||||||"2965034"|"32342213"
11|"November"|"None"|||||||||||||"2965034"|"32342214"
12|"December"|"None"|||||||||||||"2965034"|"32652963"
6|"June"|"None"|||||||||||||"2965034"|"32652964"
10|"October"|"None"|||||||||||||"2965034"|"32652965"
2|"February"|"None"|||||||||||||"2965034"|"32963714"
3|"March"|"None"|||||||||||||"2965034"|"32963715"
9|"September"|"None"|||||||||||||"2965034"|"32963716"
4|"April"|"None"|||||||||||||"2965035"|"32031473"
1|"January"|"None"|||||||||||||"2965035"|"32031474"
5|"May"|"None"|||||||||||||"2965035"|"32031475"
8|"August"|"None"|||||||||||||"2965035"|"32342224"
7|"July"|"None"|||||||||||||"2965035"|"32342225"
11|"November"|"None"|||||||||||||"2965035"|"32342226"
12|"December"|"None"|||||||||||||"2965035"|"32652975"
6|"June"|"None"|||||||||||||"2965035"|"32652976"
10|"October"|"None"|||||||||||||"2965035"|"32652977"
2|"February"|"None"|||||||||||||"2965035"|"32963726"
3|"March"|"None"|||||||||||||"2965035"|"32963727"
9|"September"|"None"|||||||||||||"2965035"|"32963728"
3|"March"|"None"|||||||||||||"2965036"|"32963739"
9|"September"|"None"|||||||||||||"2965036"|"32963740"
4|"April"|"None"|||||||||||||"2965036"|"32031485"
1|"January"|"None"|||||||||||||"2965036"|"32031486"
5|"May"|"None"|||||||||||||"2965036"|"32031487"
8|"August"|"None"|||||||||||||"2965036"|"32342236"
7|"July"|"None"|||||||||||||"2965036"|"32342237"
11|"November"|"None"|||||||||||||"2965036"|"32342238"
12|"December"|"None"|||||||||||||"2965036"|"32652987"
6|"June"|"None"|||||||||||||"2965036"|"32652988"
10|"October"|"None"|||||||||||||"2965036"|"32652989"
2|"February"|"None"|||||||||||||"2965036"|"32963738"
4|"April"|"None"|||||||||||||"2965037"|"32031497"
1|"January"|"None"|||||||||||||"2965037"|"32031498"
5|"May"|"None"|||||||||||||"2965037"|"32031499"
8|"August"|"None"|||||||||||||"2965037"|"32342248"
