ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Stream discharge (m^3/yr),Stream discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
lt_202010_0_Near_Burton_Creek_CurCond,CurCond,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,529336.0,432.92385703770344,0.0,0.0,2.5,20.44655271121289,2.5,20.44655271121289,1.002,5.3,0.043346691747771324,0.19180000000000003,0.47950000000000004,3.9216488100106326
lt_202010_0_Near_Burton_Creek_HighSev,HighSev,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,914370.0,747.8285761020692,60.3,493.1708513944549,5.5,44.982415964668355,70.7,578.2285106731006,1.074,81.8,0.6690112047108857,0.15760000000000002,11.142320000000002,91.12881328208066
lt_202010_0_Near_Burton_Creek_LowSev,LowSev,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,822562.0,672.7422916496279,1.2,9.814345301382188,4.2,34.35020855483766,5.4,44.16455385621984,1.005,9.7,0.07933262451950601,0.1839,0.99306,8.121861454158829
lt_202010_0_Near_Burton_Creek_ModSev,ModSev,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,874463.0,715.1901529402143,16.0,130.8579373517625,5.1,41.7109675308743,21.7,177.4760775333279,1.027,27.8,0.22736566614868733,0.1634,3.5457799999999997,28.999591068945776
lt_202010_0_Near_Burton_Creek_PrescFire,PrescFire,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,749751.0,613.192933671383,1.3,10.632207409830702,4.1,33.53234644638914,5.4,44.16455385621984,1.005,9.4,0.07687903819416048,0.1819,0.9822600000000001,8.03353234644639
lt_202010_0_Near_Burton_Creek_SimFire.fccsFuels_obs_cli,SimFire.fccsFuels_obs_cli,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,873656.0,714.5301382186964,16.6,135.76511000245358,5.1,41.7109675308743,22.3,182.38325018401898,1.029,28.4,0.23227283879937843,0.1634,3.64382,29.801423080068698
lt_202010_0_Near_Burton_Creek_SimFire.landisFuels_fut_cli_A2,SimFire.landisFuels_fut_cli_A2,0_Near_Burton_Creek,122.27,1403116.0,1147.5554101578473,956108.0,781.9645047844933,51.3,419.5632616340885,6.1,49.88958861535945,61.8,505.43878302118264,1.076,72.1,0.5896785801913798,0.15860000000000002,9.801480000000002,80.16259098715958
lt_202010_0_Near_Burton_Creek_SimFire.landisFuels_obs_cli,SimFire.landisFuels_obs_cli,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,869217.0,710.8996483192934,15.6,127.58648891796844,5.1,41.7109675308743,21.2,173.3867669910853,1.028,27.2,0.22245849349799623,0.1634,3.4640799999999996,28.331397726343337
lt_202010_0_Near_Burton_Creek_Thinn85,Thinn85,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,784245.0,641.4042692402061,0.1,0.8178621084485156,3.9,31.89662222949211,3.9,31.89662222949211,1.002,8.0,0.06542896867588124,0.19110000000000002,0.74529,6.095444508055942
lt_202010_0_Near_Burton_Creek_Thinn93,Thinn93,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,783912.0,641.1319211580927,0.1,0.8178621084485156,3.9,31.89662222949211,3.9,31.89662222949211,1.002,8.0,0.06542896867588124,0.19080000000000003,0.7441200000000001,6.085875521387095
lt_202010_0_Near_Burton_Creek_Thinn96,Thinn96,0_Near_Burton_Creek,122.27,1276853.0,1044.2896867588124,783801.0,641.0411384640549,0.1,0.8178621084485156,3.9,31.89662222949211,3.9,31.89662222949211,1.002,8.0,0.06542896867588124,0.19080000000000003,0.7441200000000001,6.085875521387095
lt_202010_10_Intervening_Area_Agate_Bay_CurCond,CurCond,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,251671.0,342.3629438171677,0.7,9.522513943681131,1.9,25.846823561420212,2.4,32.648619235478165,0.934,3.9,0.05305400625765202,0.18880000000000002,0.45312,6.164059311658278
lt_202010_10_Intervening_Area_Agate_Bay_HighSev,HighSev,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,404173.0,549.8204325942048,42.0,571.3508366208679,3.8,51.693647122840424,26.2,356.4140933206366,0.571,30.6,0.4162698952523466,0.2794,7.3202799999999995,99.58209767378587
lt_202010_10_Intervening_Area_Agate_Bay_LowSev,LowSev,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,360817.0,490.8407019453136,1.5,20.40538702217385,3.1,42.1711331791593,4.4,59.85580193170997,0.964,6.5,0.08842334376275336,0.18680000000000002,0.8219200000000002,11.181063800843424
lt_202010_10_Intervening_Area_Agate_Bay_ModSev,ModSev,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,384157.0,522.5914841518161,9.1,123.7926812678547,3.5,47.61256971840566,10.5,142.83770915521697,0.83,13.3,0.1809277649299415,0.2081,2.18505,29.724527275200646
lt_202010_10_Intervening_Area_Agate_Bay_PrescFire,PrescFire,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,331778.0,451.3372330295198,1.8,24.486464426608624,2.9,39.450414909536114,4.6,62.576520201333146,0.971,6.6,0.08978370289756495,0.18580000000000002,0.85468,11.626717453407698
lt_202010_10_Intervening_Area_Agate_Bay_SimFire.fccsFuels_obs_cli,SimFire.fccsFuels_obs_cli,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,382700.0,520.6094408923956,8.4,114.27016732417357,3.5,47.61256971840566,10.0,136.035913481159,0.837,12.8,0.17412596925588356,0.2091,2.091,28.44510950891035
lt_202010_10_Intervening_Area_Agate_Bay_SimFire.landisFuels_fut_cli_A2,SimFire.landisFuels_fut_cli_A2,10_Intervening_Area_Agate_Bay,73.51,640967.0,871.9453135627806,396137.0,538.8885865868589,20.9,284.31505917562237,3.8,51.693647122840424,16.2,220.3781798394776,0.656,19.6,0.2666303904230717,0.2556,4.14072,56.32866276697048
lt_202010_10_Intervening_Area_Agate_Bay_SimFire.landisFuels_obs_cli,SimFire.landisFuels_obs_cli,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,382700.0,520.6094408923956,8.4,114.27016732417357,3.5,47.61256971840566,10.0,136.035913481159,0.837,12.8,0.17412596925588356,0.2091,2.091,28.44510950891035
lt_202010_10_Intervening_Area_Agate_Bay_Thinn85,Thinn85,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,344548.0,468.7090191810638,0.8,10.882873078492722,2.8,38.090055774724526,3.4,46.252210583594064,0.959,5.5,0.07481975241463745,0.1889,0.64226,8.73704257924092
lt_202010_10_Intervening_Area_Agate_Bay_Thinn93,Thinn93,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,344347.0,468.4355869949667,0.8,10.882873078492722,2.8,38.090055774724526,3.4,46.252210583594064,0.959,5.4,0.07345939327982587,0.1889,0.64226,8.73704257924092
lt_202010_10_Intervening_Area_Agate_Bay_Thinn96,Thinn96,10_Intervening_Area_Agate_Bay,73.51,609765.0,829.4993878383893,344211.0,468.2505781526323,0.8,10.882873078492722,2.8,38.090055774724526,3.4,46.252210583594064,0.959,5.4,0.07345939327982587,0.18860000000000002,0.64124,8.723166916065841
lt_202010_10_Snow_Creek_CurCond,CurCond,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,4506846.0,395.3443042860401,11.5,10.087896278882086,115.2,101.0544044632362,117.7,103.24742539342796,0.929,151.7,0.13307251004403584,0.19680000000000003,23.163360000000004,20.319093317426624
lt_202010_10_Snow_Creek_HighSev,HighSev,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,7015724.0,615.4251828979455,1007.7,883.9628765416937,174.8,153.3360234390077,487.6,427.7268022246004,0.412,568.6,0.4987806803628134,0.3189,155.49564,136.4020772294251
lt_202010_10_Snow_Creek_LowSev,LowSev,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,6262493.0,549.3511289671749,14.6,12.807242232319865,151.3,132.72162669520517,155.0,135.96729767188899,0.934,199.9,0.17535395357813297,0.1945,30.1475,26.445639397182408
lt_202010_10_Snow_Creek_ModSev,ModSev,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,6687227.0,586.6091510377375,109.7,96.22975841681433,165.2,144.91482306707135,224.6,197.0210003684275,0.817,278.1,0.24395164827453114,0.20500000000000002,46.043,40.38930507552764
lt_202010_10_Snow_Creek_PrescFire,PrescFire,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,5727734.0,502.4416217828383,18.6,16.316075720626678,140.9,123.59865962560747,147.0,128.94963069527535,0.921,188.5,0.16535377813645852,0.19910000000000003,29.267700000000005,25.673871471429326
lt_202010_10_Snow_Creek_SimFire.fccsFuels_obs_cli,SimFire.fccsFuels_obs_cli,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,6582808.0,577.4494289373498,46.9,41.141072650397376,161.3,141.4937104159722,192.5,168.86261162476535,0.925,242.3,0.21254758855418518,0.202,38.885000000000005,34.11024754820261
lt_202010_10_Snow_Creek_SimFire.landisFuels_fut_cli_A2,SimFire.landisFuels_fut_cli_A2,10_Snow_Creek,1139.98,11352214.0,995.8257162406358,7428268.0,651.6138879629467,392.5,344.304286040106,164.3,144.1253355322023,485.2,425.62150213161635,0.871,567.2,0.49755258864190605,0.232,112.5664,98.744188494535
lt_202010_10_Snow_Creek_SimFire.landisFuels_obs_cli,SimFire.landisFuels_obs_cli,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,6601613.0,579.09901928104,50.4,44.211301952665835,162.9,142.89724381129494,194.1,170.26614502008806,0.91,244.2,0.2142142844611309,0.202,39.2082,34.39376129405779
lt_202010_10_Snow_Creek_Thinn85,Thinn85,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,6003099.0,526.5968701205285,12.1,10.614221302128108,147.3,129.21279320689837,151.6,132.9847892068282,0.951,195.4,0.17140651590378778,0.1952,29.59232,25.958630853172863
lt_202010_10_Snow_Creek_Thinn93,Thinn93,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,5999260.0,526.2601098264881,11.9,10.438779627712767,147.1,129.03735153248303,151.5,132.8970683696205,0.952,195.3,0.17131879506658013,0.1952,29.5728,25.941507745749924
lt_202010_10_Snow_Creek_Thinn96,Thinn96,10_Snow_Creek,1139.98,9791217.0,858.8937525219741,5998368.0,526.181862839699,11.8,10.351058790505096,147.1,129.03735153248303,151.1,132.54618502078984,0.951,194.8,0.17088019088054177,0.1952,29.49472,25.873015316058176
lt_202010_11_Griff_Creek_CurCond,CurCond,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,5296978.0,522.91558486431,23.5,23.19910757475542,290.4,286.68173785995634,313.5,309.48596700790745,0.999,370.8,0.36605230164763025,0.1912,59.9412,59.17371689191191
lt_202010_11_Griff_Creek_HighSev,HighSev,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,7496965.0,740.097436251814,8120.6,8016.624381768463,379.9,375.0357858574291,8604.3,8494.13111938162,1.012,9499.5,9.37786903856975,0.1927,1658.04861,1636.8190667048384
lt_202010_11_Griff_Creek_LowSev,LowSev,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,6718030.0,663.2012794061028,275.2,271.6763576413911,340.6,336.238980423902,618.5,610.5807674462225,1.004,712.4,0.703278478138543,0.18530000000000002,114.60805,113.14061620778503
lt_202010_11_Griff_Creek_ModSev,ModSev,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,7144692.0,705.321184240402,1936.6,1911.8039033732489,361.4,356.77265861772804,2318.2,2288.5179225445963,1.009,2583.7,2.550618478335982,0.1857,430.48974,424.9777782165316
lt_202010_11_Griff_Creek_PrescFire,PrescFire,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,6243340.0,616.3400693011639,142.8,140.9715983691521,323.5,319.3579276780161,465.8,459.8359280136628,0.999,542.0,0.535060268319891,0.1879,87.52382,86.40317087376724
lt_202010_11_Griff_Creek_SimFire.fccsFuels_obs_cli,SimFire.fccsFuels_obs_cli,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,7014575.0,692.4760851752767,915.5,903.7779993484505,355.7,351.1456410357661,1276.2,1259.859620719271,1.004,1438.7,1.4202789816085373,0.18710000000000002,238.77702000000002,235.71973503657563
lt_202010_11_Griff_Creek_SimFire.landisFuels_fut_cli_A2,SimFire.landisFuels_fut_cli_A2,11_Griff_Creek,1012.97,10107442.0,997.8026989940472,6692147.0,660.6461198258586,544.9,537.9231369142225,303.9,300.00888476460307,853.9,842.9667216205811,1.006,971.0,0.9585673810675538,0.19410000000000002,165.74199000000002,163.6198406665548
lt_202010_11_Griff_Creek_SimFire.landisFuels_obs_cli,SimFire.landisFuels_obs_cli,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,7003944.0,691.4265970364374,1009.8,996.8705884675755,355.2,350.65204300226065,1369.8,1352.2611725914883,1.004,1541.1,1.5213678588704502,0.184,252.04319999999998,248.81605575683383
lt_202010_11_Griff_Creek_Thinn85,Thinn85,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,6485285.0,640.2247845444584,73.1,72.16403249849452,331.2,326.9593373939998,405.0,399.81440713940196,1.002,476.8,0.47069508475078237,0.19090000000000001,77.31450000000001,76.32457032291184
lt_202010_11_Griff_Creek_Thinn93,Thinn93,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,6478822.0,639.5867597263492,63.3,62.489511041788006,330.9,326.6631785738966,395.3,390.2386052893965,1.003,468.8,0.4627975162146954,0.19090000000000001,75.46277,74.4965497497458
lt_202010_11_Griff_Creek_Thinn96,Thinn96,11_Griff_Creek,1012.97,10027351.0,989.8961469737504,6475846.0,639.2929701768068,59.9,59.133044413951055,330.7,326.46573936049435,391.7,386.6846994481574,1.003,462.0,0.4560845829590215,0.19090000000000001,74.77553,73.81810912465325
lt_202010_12_Baldy_Creek_CurCond,CurCond,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,581716.0,405.80118590861525,7.8,54.41227764213464,0.9,6.278339727938612,3.1,21.625392396232996,0.353,6.4,0.04464597139867458,0.3962,1.22822,8.567980467387514
lt_202010_12_Baldy_Creek_HighSev,HighSev,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,817620.0,570.3662364841298,25.3,176.49110568538543,2.4,16.742239274502964,9.3,64.87617718869899,0.336,14.1,0.09836065573770492,0.5147999999999999,4.78764,33.39825601674224
lt_202010_12_Baldy_Creek_LowSev,LowSev,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,747073.0,521.1531217300314,7.9,55.109870945238924,1.7,11.859086152772933,4.1,28.6013254272759,0.428,8.1,0.0565050575514475,0.3449,1.4140899999999998,9.864597139867458
lt_202010_12_Baldy_Creek_ModSev,ModSev,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,786598.0,548.7254970352285,8.7,60.69061737007325,2.2,15.347052668294385,5.1,35.5772584583188,0.466,9.3,0.064876177188699,0.3442,1.75542,12.245692361353331
lt_202010_12_Baldy_Creek_PrescFire,PrescFire,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,705723.0,492.307638646669,8.3,57.90024415765609,1.6,11.161492849668644,4.3,29.99651203348448,0.431,8.1,0.0565050575514475,0.3567,1.5338100000000001,10.699755842343915
lt_202010_12_Baldy_Creek_SimFire.fccsFuels_obs_cli,SimFire.fccsFuels_obs_cli,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,768161.0,535.8639693058947,0.8,5.580746424834322,2.0,13.951866062085804,2.6,18.137425880711547,0.92,6.5,0.04534356470177887,0.22870000000000001,0.59462,4.148029298918731
lt_202010_12_Baldy_Creek_SimFire.landisFuels_fut_cli_A2,SimFire.landisFuels_fut_cli_A2,12_Baldy_Creek,143.35,1098193.0,766.0920823160097,653318.0,455.75026159748865,5.0,34.87966515521451,1.4,9.766306243460063,3.3,23.02057900244158,0.516,6.8,0.04743634461109173,0.3608,1.19064,8.30582490408092
lt_202010_12_Baldy_Creek_SimFire.landisFuels_obs_cli,SimFire.landisFuels_obs_cli,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,754284.0,526.1834670387165,0.6,4.185559818625741,1.8,12.556679455877225,2.3,16.044645971398676,0.923,6.1,0.0425531914893617,0.22300000000000003,0.5129,3.5779560516219044
lt_202010_12_Baldy_Creek_Thinn85,Thinn85,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,730845.0,509.83257760725496,7.8,54.41227764213464,1.5,10.463899546564354,3.7,25.810952214858737,0.402,7.7,0.05371468433903035,0.36140000000000005,1.3371800000000003,9.328078130449951
lt_202010_12_Baldy_Creek_Thinn93,Thinn93,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,730161.0,509.3554237879316,7.8,54.41227764213464,1.5,10.463899546564354,3.7,25.810952214858737,0.402,7.7,0.05371468433903035,0.36140000000000005,1.3371800000000003,9.328078130449951
lt_202010_12_Baldy_Creek_Thinn96,Thinn96,12_Baldy_Creek,143.35,1214943.0,847.5361004534357,729808.0,509.1091733519358,7.8,54.41227764213464,1.5,10.463899546564354,3.7,25.810952214858737,0.402,7.7,0.05371468433903035,0.36140000000000005,1.3371800000000003,9.328078130449951
lt_202010_12_Intervening_Area_Griff_to_Baldy_CurCond,CurCond,12_Intervening_Area_Griff_to_Baldy,66.99,531471.0,793.3587102552619,158541.0,236.66368114643976,0.1,1.4927601134497688,0.0,0.0,0.1,1.4927601134497688,1.003,0.9,0.01343484102104792,0.16310000000000002,0.01631,0.24346917450365732
lt_202010_12_Intervening_Area_Griff_to_Baldy_HighSev,HighSev,12_Intervening_Area_Griff_to_Baldy,66.99,531471.0,793.3587102552619,325428.0,485.7859381997313,68.0,1015.0768771458428,0.5,7.463800567248843,48.7,726.9741752500373,0.712,55.0,0.8210180623973728,0.22460000000000002,10.938020000000002,163.27839976115843
lt_202010_12_Intervening_Area_Griff_to_Baldy_LowSev,LowSev,12_Intervening_Area_Griff_to_Baldy,66.99,531471.0,793.3587102552619,285212.0,425.7530974772354,0.8,11.94208090759815,0.1,1.4927601134497688,0.9,13.43484102104792,1.003,2.2,0.03284072249589492,0.1729,0.15561,2.322884012539185
lt_202010_12_Intervening_Area_Griff_to_Baldy_ModSev,ModSev,12_Intervening_Area_Griff_to_Baldy,66.99,531471.0,793.3587102552619,307612.0,459.1909240185102,8.9,132.8556500970294,0.2,2.9855202268995376,9.1,135.84117032392896,1.002,11.3,0.16868189281982388,0.1644,1.4960399999999998,22.332288401253916
lt_202010_12_Intervening_Area_Griff_to_Baldy_PrescFire,PrescFire,12_Intervening_Area_Griff_to_Baldy,66.99,531471.0,793.3587102552619,246371.0,367.77280191073294,0.1,1.4927601134497688,0.1,1.4927601134497688,0.2,2.9855202268995376,1.002,1.4,0.02089864158829676,0.1769,0.03538,0.5281385281385282
lt_202010_12_Intervening_Area_Griff_to_Baldy_SimFire.fccsFuels_obs_cli,SimFire.fccsFuels_obs_cli,12_Intervening_Area_Griff_to_Baldy,66.99,531471.0,793.3587102552619,285788.0,426.6129273025825,0.9,13.43484102104792,0.2,2.9855202268995376,1.1,16.420361247947454,1.003,2.4,0.03582624272279445,0.1716,0.18876,2.817733990147784
lt_202010_12_Intervening_Area_Griff_to_Baldy_SimFire.landisFuels_fut_cli_A2,SimFire.landisFuels_fut_cli_A2,12_Intervening_Area_Griff_to_Baldy,66.99,513175.0,766.047171219585,256441.0,382.8048962531721,6.7,100.0149276011345,0.2,2.9855202268995376,6.5,97.02940737423496,0.94,8.3,0.12389908941633082,0.1664,1.0816,16.145693387072697
lt_202010_12_Intervening_Area_Griff_to_Baldy_SimFire.landisFuels_obs_cli,SimFire.landisFuels_obs_cli,12_Intervening_Area_Griff_to_Baldy,66.99,531471.0,793.3587102552619,285788.0,426.6129273025825,0.9,13.43484102104792,0.2,2.9855202268995376,1.1,16.420361247947454,1.003,2.4,0.03582624272279445,0.1716,0.18876,2.817733990147784
lt_202010_12_Intervening_Area_Griff_to_Baldy_Thinn85,Thinn85,12_Intervening_Area_Griff_to_Baldy,66.99,531471.0,793.3587102552619,260151.0,388.34303627407076,0.1,1.4927601134497688,0.1,1.4927601134497688,0.2,2.9855202268995376,1.002,1.4,0.02089864158829676,0.17060000000000003,0.034120000000000004,0.5093297507090612
