date,NE,NW,SE,SW,center
2021-07-25,4.07,3.56,3.31,2.91,3.42
2021-07-26,0.0,0.0,0.0,0.0,0.0
2021-07-27,0.0,0.0,0.0,0.0,0.0
2021-07-28,19.51,19.01,7.27,14.8,15.44
2021-07-29,9.89,10.42,7.85,12.16,10.81
2021-07-30,15.43,16.72,14.1,18.45,17.09
2021-07-31,12.19,13.07,10.5,14.31,13.26
2021-08-01,15.68,15.13,5.16,10.28,11.61
2021-08-02,6.0,8.2,5.92,8.2,8.2
2021-08-03,0.0,0.0,0.0,0.0,0.0
2021-08-04,0.0,0.0,0.0,0.0,0.0
2021-08-05,0.0,0.0,0.0,0.0,0.0
2021-08-06,0.0,0.0,0.16,0.0,0.0
2021-08-07,0.0,0.0,0.0,0.0,0.0
2021-08-08,0.0,0.0,0.0,0.0,0.0
2021-08-09,0.0,0.0,0.0,0.0,0.0
2021-08-10,0.0,0.0,0.0,0.0,0.0
2021-08-11,0.0,0.0,0.0,0.0,0.0
2021-08-12,0.0,0.0,0.0,0.0,0.0
2021-08-13,0.0,0.0,0.0,0.0,0.0
2021-08-14,0.0,0.0,0.0,0.0,0.0
2021-08-15,0.0,0.0,0.0,0.0,0.0
2021-08-16,0.0,0.0,0.0,0.0,0.0
