VALUE,COUNT,LU_CODEV7N,LU_CODEV7,TERTIARY_V7,SECONDARY_V7,PRIMARY_V7,CLASSES_18,C18_DESCRIPTION,TOPO_FEATURES,TOPO_FEAT_DESC,CLUM_DATA,CLUM_DATA_DESC,PROT_AREAS,PROT_AREAS_DESC,WH_AREAS,WH_AREAS_DESC,TENURE,TENURE_DESC,FOREST_TYPE,FOREST_TYPE_DESC,VEG_CONDITION,VEG_COND_DESC,COMMODITIES,COMMODITIES_DESC,IRRIGATION,IRRIGATION_DESC
1,724875,125,1.2.5,1.2.5 Traditional indigenous uses,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,125,1.2.5 Traditional indigenous uses,0,Not a protected area,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2,2850,125,1.2.5,1.2.5 Traditional indigenous uses,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,125,1.2.5 Traditional indigenous uses,0,Not a protected area,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
3,35132,125,1.2.5,1.2.5 Traditional indigenous uses,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,125,1.2.5 Traditional indigenous uses,0,Not a protected area,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
4,240,0,ND,No data,No data,No data,0,No data,0,Not a topographic feature,0,Offshore,0,Not a protected area,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,0,Offshore,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
5,4,0,ND,No data,No data,No data,0,No data,0,Not a topographic feature,300,3.0.0 Production from dryland agriculture and plantations,0,Not a protected area,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
6,30568,125,1.2.5,1.2.5 Traditional indigenous uses,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,125,1.2.5 Traditional indigenous uses,0,Not a protected area,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
7,1,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,100,1.0.0 Conservation and natural environments,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
8,4442,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
9,49892,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
10,48,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,0,Offshore,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,0,Offshore,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
11,185,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
12,216,551,5.5.1,5.5.1 Commercial services,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,551,5.5.1 Commercial services,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
13,83,551,5.5.1,5.5.1 Commercial services,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",10,Built-up area,551,5.5.1 Commercial services,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
14,1088,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
15,382,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
16,5793,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
17,12380,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
18,3597,542,5.4.2,5.4.2 Rural residential with agriculture,5.4 Residential and farm infrastructure,5 Intensive uses,14,"Rural residential and farm infrastructure (5.4.2, 5.4.3, 5.4.4, 5.4.5)",0,Not a topographic feature,542,5.4.2 Rural residential with agriculture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
19,743,542,5.4.2,5.4.2 Rural residential with agriculture,5.4 Residential and farm infrastructure,5 Intensive uses,14,"Rural residential and farm infrastructure (5.4.2, 5.4.3, 5.4.4, 5.4.5)",0,Not a topographic feature,542,5.4.2 Rural residential with agriculture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
20,2,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,100,1.0.0 Conservation and natural environments,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
21,41706,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
22,4597,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
23,1,660,6.6.0,6.6.0 Estuary/coastal waters,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),7,Saline coastal flat,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
24,673,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
